case_id,field,pattern,r1_judgment,r2_judgment,r3_judgment,majority,r1_rationale,r2_rationale,r3_rationale,status
V2C-1085,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1086,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on '공개해 주세요' (disclose) in source, making candidate VERIFY intent and entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1087,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1088,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on '공개해 주세요' (disclose) in source, making candidate VERIFY intent and entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1089,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1090,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on '공개해 주세요' (disclose) in source, making candidate VERIFY intent and entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1091,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1092,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on '공개해 주세요' (disclose) in source, making candidate VERIFY intent and entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1093,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1094,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on '공개해 주세요' (disclose) in source, making candidate VERIFY intent and entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1095,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1096,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on '공개해 주세요' (disclose) in source, making candidate VERIFY intent and entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1097,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1098,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on '공개해 주세요' (disclose) in source, making candidate VERIFY intent and entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1099,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-0199,target_valid,R1 == R3 != R2,1,0,1,1,"English source text lacks any conditional clause, making the candidate expected_conditions invalid. Other fields match the reconstructed metadata.","Reconstructed target QV0188 from source text, but candidate annotations specify target QV0198 and entity_id QV0198. Target and claims invalid.",English source text lacks the condition 'if the source is verified' found in the expected conditions. Other semantics match.,majority_resolved
V2C-0001,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, meaning there should be no conditions, but the candidate annotation incorrectly includes an entity verification condition.","Reconstructed intent, target, conditions, policy, outcome, language, claims, and source text match candidate annotation.","Source text does not contain any conditions, but expected conditions has one.",majority_resolved
V2C-0003,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, meaning there should be no conditions, but the candidate annotation incorrectly includes an entity verification condition.","Reconstructed intent, target, conditions, policy, outcome, language, claims, and source text match candidate annotation.","Source text does not contain any conditions, but expected conditions has one.",majority_resolved
V2C-0005,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, meaning there should be no conditions, but the candidate annotation incorrectly includes an entity verification condition.","Reconstructed intent, target, conditions, policy, outcome, language, claims, and source text match candidate annotation.","Source text does not contain any conditions, but expected conditions has one.",majority_resolved
V2C-0007,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, meaning there should be no conditions, but the candidate annotation incorrectly includes an entity verification condition.","Reconstructed intent, target, conditions, policy, outcome, language, claims, and source text match candidate annotation.","Source text does not contain any conditions, but expected conditions has one.",majority_resolved
V2C-0009,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, meaning there should be no conditions, but the candidate annotation incorrectly includes an entity verification condition.","Reconstructed intent, target, conditions, policy, outcome, language, claims, and source text match candidate annotation.","Source text does not contain any conditions, but expected conditions has one.",majority_resolved
V2C-0011,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, meaning there should be no conditions, but the candidate annotation incorrectly includes an entity verification condition.","Reconstructed intent, target, conditions, policy, outcome, language, claims, and source text match candidate annotation.","Source text does not contain any conditions, but expected conditions has one.",majority_resolved
V2C-0013,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, meaning there should be no conditions, but the candidate annotation incorrectly includes an entity verification condition.","Reconstructed intent, target, conditions, policy, outcome, language, claims, and source text match candidate annotation.","Source text does not contain any conditions, but expected conditions has one.",majority_resolved
V2C-0015,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, meaning there should be no conditions, but the candidate annotation incorrectly includes an entity verification condition.","Reconstructed intent, target, conditions, policy, outcome, language, claims, and source text match candidate annotation.","Source text does not contain any conditions, but expected conditions has one.",majority_resolved
V2C-0017,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, meaning there should be no conditions, but the candidate annotation incorrectly includes an entity verification condition.","Reconstructed intent, target, conditions, policy, outcome, language, claims, and source text match candidate annotation.","Source text does not contain any conditions, but expected conditions has one.",majority_resolved
V2C-0019,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, meaning there should be no conditions, but the candidate annotation incorrectly includes an entity verification condition.","Reconstructed intent, target, conditions, policy, outcome, language, claims, and source text match candidate annotation.","Source text does not contain any conditions, but expected conditions has one.",majority_resolved
V2C-0021,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, meaning there should be no conditions, but the candidate annotation incorrectly includes an entity verification condition.","Reconstructed intent, target, conditions, policy, outcome, language, claims, and source text match candidate annotation.","Source text does not contain any conditions, but expected conditions has one.",majority_resolved
V2C-0023,conditions_valid,R1 == R3 != R2,0,1,0,0,"Direct reconstruction shows no conditions since the source text lacks a conditional phrase, but the candidate expected_conditions contains a verification condition.","Reconstructed intent, target, conditions, policy, outcome, language, claims, and source text match candidate annotation.","Source text does not contain any conditions, but expected conditions has one.",majority_resolved
V2C-0025,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2026 assets for QV0024. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0026,conditions_valid,R1 == R2 != R3,1,1,0,1,"Reconstructed intent, target, conditions, policy, outcome, and claims match the candidate annotations perfectly.",Korean prompt specifies verifying 2023 net_income for QV0026 given source verification. Reconstructed fields match candidate.,"The source text condition translates to source_verified, but candidate specifies entity_verified. Other fields match.",majority_resolved
V2C-0027,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2023 net_income for QV0026. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0028,conditions_valid,R1 == R2 != R3,1,1,0,1,"Reconstructed intent, target, conditions, policy, outcome, and claims match the candidate annotations perfectly.",Korean prompt specifies verifying 2025 assets for QV0028 given source verification. Reconstructed fields match candidate.,"The source text condition translates to source_verified, but candidate specifies entity_verified. Other fields match.",majority_resolved
V2C-0029,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2025 assets for QV0028. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0030,conditions_valid,R1 == R2 != R3,1,1,0,1,"Reconstructed intent, target, conditions, policy, outcome, and claims match the candidate annotations perfectly.",Korean prompt specifies verifying 2022 net_income for QV0030 given source verification. Reconstructed fields match candidate.,"The source text condition translates to source_verified, but candidate specifies entity_verified. Other fields match.",majority_resolved
V2C-0031,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2022 net_income for QV0030. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0032,conditions_valid,R1 == R2 != R3,1,1,0,1,"Reconstructed intent, target, conditions, policy, outcome, and claims match the candidate annotations perfectly.",Korean prompt specifies verifying 2024 assets for QV0032 given source verification. Reconstructed fields match candidate.,"The source text condition translates to source_verified, but candidate specifies entity_verified. Other fields match.",majority_resolved
V2C-0033,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2024 assets for QV0032. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0034,conditions_valid,R1 == R2 != R3,1,1,0,1,"Reconstructed intent, target, conditions, policy, outcome, and claims match the candidate annotations perfectly.",Korean prompt specifies verifying 2026 net_income for QV0034 given source verification. Reconstructed fields match candidate.,"The source text condition translates to source_verified, but candidate specifies entity_verified. Other fields match.",majority_resolved
V2C-0035,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2026 net_income for QV0034. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0036,conditions_valid,R1 == R2 != R3,1,1,0,1,"Reconstructed intent, target, conditions, policy, outcome, and claims match the candidate annotations perfectly.",Korean prompt specifies verifying 2023 assets for QV0036 given source verification. Reconstructed fields match candidate.,"The source text condition translates to source_verified, but candidate specifies entity_verified. Other fields match.",majority_resolved
V2C-0037,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2023 assets for QV0036. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0038,conditions_valid,R1 == R2 != R3,1,1,0,1,"Reconstructed intent, target, conditions, policy, outcome, and claims match the candidate annotations perfectly.",Korean prompt specifies verifying 2025 net_income for QV0038 given source verification. Reconstructed fields match candidate.,"The source text condition translates to source_verified, but candidate specifies entity_verified. Other fields match.",majority_resolved
V2C-0039,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2025 net_income for QV0038. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0040,conditions_valid,R1 == R2 != R3,1,1,0,1,"Reconstructed intent, target, conditions, policy, outcome, and claims match the candidate annotations perfectly.",Korean prompt specifies verifying 2022 assets for QV0040 given source verification. Reconstructed fields match candidate.,"The source text condition translates to source_verified, but candidate specifies entity_verified. Other fields match.",majority_resolved
V2C-0041,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2022 assets for QV0040. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0042,conditions_valid,R1 == R2 != R3,1,1,0,1,"Reconstructed intent, target, conditions, policy, outcome, and claims match the candidate annotations perfectly.",Korean prompt specifies verifying 2024 net_income for QV0042 given source verification. Reconstructed fields match candidate.,"The source text condition translates to source_verified, but candidate specifies entity_verified. Other fields match.",majority_resolved
V2C-0043,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2024 net_income for QV0042. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0044,conditions_valid,R1 == R2 != R3,1,1,0,1,"Reconstructed intent, target, conditions, policy, outcome, and claims match the candidate annotations perfectly.",Korean prompt specifies verifying 2026 assets for QV0044 given source verification. Reconstructed fields match candidate.,"The source text condition translates to source_verified, but candidate specifies entity_verified. Other fields match.",majority_resolved
V2C-0045,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2026 assets for QV0044. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0046,conditions_valid,R1 == R2 != R3,1,1,0,1,"Reconstructed intent, target, conditions, policy, outcome, and claims match the candidate annotations perfectly.",Korean prompt specifies verifying 2023 net_income for QV0046 given source verification. Reconstructed fields match candidate.,"The source text condition translates to source_verified, but candidate specifies entity_verified. Other fields match.",majority_resolved
V2C-0047,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2023 net_income for QV0046. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0048,conditions_valid,R1 == R2 != R3,1,1,0,1,"Reconstructed intent, target, conditions, policy, outcome, and claims match the candidate annotations perfectly.",Korean prompt specifies verifying 2025 assets for QV0048 given source verification. Reconstructed fields match candidate.,"The source text condition translates to source_verified, but candidate specifies entity_verified. Other fields match.",majority_resolved
V2C-0049,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text has no conditional constraint, but the candidate annotation incorrectly includes an entity verification condition.",Source specifies verifying 2025 assets for QV0048. All candidate fields match source reconstruction.,"The source text lacks any condition, but candidate includes entity_verified==true. Other fields match.",majority_resolved
V2C-0075,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0077,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0079,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0081,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0083,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0085,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0087,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0089,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0091,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0093,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0095,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0097,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0099,conditions_valid,R1 == R3 != R2,0,1,0,0,"The English source text does not contain any conditional phrase, but the candidate annotation specifies a verification condition.","Source text and language are valid. Reconstructed intent, target, conditions, policy, outcome, and claims match candidate annotations.","English source text lacks a conditional clause, making the expected condition invalid.",majority_resolved
V2C-0101,conditions_valid,R1 == R3 != R2,0,1,0,0,"The source text contains no conditional clauses, but candidate annotation incorrectly specifies entity_verified as true.","Reconstructed intent VERIFY, target QV0100, entity_verified condition, PERMIT decision, COMMIT outcome, and required claims match candidate annotation.","The English source text lacks any condition ('if source is verified'), but the candidate annotation incorrectly expects one.",majority_resolved
V2C-0103,conditions_valid,R1 == R3 != R2,0,1,0,0,"The source text contains no conditional clauses, but candidate annotation incorrectly specifies entity_verified as true.","Reconstructed intent VERIFY, target QV0102, entity_verified condition, PERMIT decision, COMMIT outcome, and required claims match candidate annotation.","The English source text lacks any condition ('if source is verified'), but the candidate annotation incorrectly expects one.",majority_resolved
V2C-0105,conditions_valid,R1 == R3 != R2,0,1,0,0,"The source text contains no conditional clauses, but candidate annotation incorrectly specifies entity_verified as true.","Reconstructed intent VERIFY, target QV0104, entity_verified condition, PERMIT decision, COMMIT outcome, and required claims match candidate annotation.","The English source text lacks any condition ('if source is verified'), but the candidate annotation incorrectly expects one.",majority_resolved
V2C-0107,conditions_valid,R1 == R3 != R2,0,1,0,0,"The source text contains no conditional clauses, but candidate annotation incorrectly specifies entity_verified as true.","Reconstructed intent VERIFY, target QV0106, entity_verified condition, PERMIT decision, COMMIT outcome, and required claims match candidate annotation.","The English source text lacks any condition ('if source is verified'), but the candidate annotation incorrectly expects one.",majority_resolved
V2C-0109,conditions_valid,R1 == R3 != R2,0,1,0,0,"The source text contains no conditional clauses, but candidate annotation incorrectly specifies entity_verified as true.","Reconstructed intent VERIFY, target QV0108, entity_verified condition, PERMIT decision, COMMIT outcome, and required claims match candidate annotation.","The English source text lacks any condition ('if source is verified'), but the candidate annotation incorrectly expects one.",majority_resolved
V2C-0111,conditions_valid,R1 == R3 != R2,0,1,0,0,"The source text contains no conditional clauses, but candidate annotation incorrectly specifies entity_verified as true.","Reconstructed intent VERIFY, target QV0110, entity_verified condition, PERMIT decision, COMMIT outcome, and required claims match candidate annotation.","The English source text lacks any condition ('if source is verified'), but the candidate annotation incorrectly expects one.",majority_resolved
V2C-0113,conditions_valid,R1 == R3 != R2,0,1,0,0,"The source text contains no conditional clauses, but candidate annotation incorrectly specifies entity_verified as true.","Reconstructed intent VERIFY, target QV0112, entity_verified condition, PERMIT decision, COMMIT outcome, and required claims match candidate annotation.","The English source text lacks any condition ('if source is verified'), but the candidate annotation incorrectly expects one.",majority_resolved
